country,city,currency_code,local_price,dollar_ex,dollar_price,implied_exchange_rate,exchange_rate_diff
Japan,Tokyo,JPY,900,150.62,5.97530208471651,144,-4.4
Australia,Sydney,AUD,10.3,1.61,6.39751552795031,1.648,2.36
China,Beijing,CNY,20,7.28,2.74725274725275,3.2,-56.04
Taiwan,Taipei,TWD,70,32.92,2.12636695018226,11.2,-65.98
United States,New York,USD,6.25,1,6.25,1,0
United Kingdom,London,GBP,6.21,0.8,7.7625,0.9936,24.2
Singapore,Singapore,SGD,6.6,1.35,4.88888888888889,1.056,-21.78
Mexico,Mexico City,MXN,108,20.55,5.25547445255474,17.28,-15.91
South Korea,Seoul,KRW,6300,1461.8,4.30975509645642,1008,-31.04
Philippines,Manila,PHP,125,57.94,2.15740421125302,20,-65.48
